Spell Name,,Discription,Ritual ,Option_A,Casting Time,Cast condition,Components,Material,Duration,Page No.,Use,Save/ Attack Roll,Utility Effect,Damage Type ,Letter,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock ,Wizard
Acid Splash,illusion,"You create an acidic bubble at a point within range, where it explodes in a 5-foot-radius Sphere. Each creature in that Sphere must succeed on a Dexterity saving throw or take 1d6 Acid damage.
Cantrip Upgrade. The damage increases by 1d6 when your reach levels 5 (2d6), 11 (3d6), and 17 (4d6)",No,Cantrip,Action,,"V, S",,Instantaneous,239,Damage,Dexterity Save,_,Acid,A,No,No,No,No,No,Yes,No,Yes
Aid ,enchantment,"Choose up to three creatures within range. Each target's Hit Point maximum and current Hit Points increase by 5 for the duration.
Using a Higher-Level Spell Slot. Each target's Hit Points increase by 5 for each spell slot level above 2.
",No,Level 2,Action,,"V, S, M",(a strip of white cloth),8 Hours,239,Healing,_,Max Hit Points,_,A,Yes,Yes,Yes,Yes,Yes,No,No,No
Alarm,illusion,"You set an alarm against intrusion. Choose
a door, a window, or an area within range that is no
larger than a 20-foot cube. Until the spell ends, an alarm
alerts you whenever a creature touches
or enters the warded area. When you cast the spell, you
can designate creatures that won’t set off the alarm. You
also choose whether the alarm is  audible or mental.

Audible Alarm. The alarm produces the sound of a hand bell
for 10 seconds within 60 feet.

Mental Alarm. You are alerted by a mental ping if you are within 1 mile of the warded area. 
This ping awakens you if you are sleeping.

",Yes,Level 1,1 Minute,,"V, S, M","(a bell and silver wire)
",8 Hours,239,Utility,_,Sensory Information,_,A,No,No,No,No,Yes,No,No,Yes
Alter Self,conjuration,"You alter your physical form. Choose one of the following options. Its effect lasts for the duration, during which you can take a Magic action to replace the option you chose with a different one.
Aquatic Adaptation. You sprout gills and grow
webs between your fingers. You can breathe
underwater and gain a Swim Speed equal to your Speed.
Change Appearance. You alter your appearance.
You decide what you look like, including your height,
weight, facial features, sound of your voice, hair length,
coloration, and other distinguishing characteristics.
You can make yourself appear as a member of another
species, though none of your statistics change. 
You can’t appear as a creature of a different size,
and your basic shape stays the same; if you're bipedal,
you can’t use this spell to become quadrupedal, for
instance. For the duration you can take a Magic action to change your appearance in this way again.
Natural Weapons. You grow claws (Slashing), fangs (Piercing,
horns (Piercing) or hooves (Bludgeoning).When you use your Unarmed Strike to deal damage with that new growth, it deals 1d6 damage of the type in parenthese instead of dealing the normal damage for your Unarmed Strike, and you use your spellcsting modifier for the attack and damage rolls rather than using Strength",No,Level 2,Action,,"V, S",,"Concentration, up to 1 Hour",239,Utility,_,Body Transmutation,_,A,No,No,No,No,No,Yes,No,Yes
Animal Friendship,transmutation,"Target a Beast that you can see within range. The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration. If you or one of your allies deals damae to the target, the spell ends.
Using a Higher-Level Spell Slot. You can target one additional Beast for each spell slot level above 1",No,Level 1,Action,,"V, S, M","(a morsel of food)
",24 Hours,239,Utility,Wisdom Save,Charms,_,A,Yes,No,Yes,No,Yes,No,No,No
Animal Messenger,illusion,"A Tiny Beast of your choice that you can see within range must succeed on a Charisma saving throw, or it attempts to deliver a message for you (if the target's Challenge rating isn't 0, it automatically suceeds). You specify a location you have visted and a recipient who matches a general description, such as ""a person dressed in the uniform of the town guard"" or a red-haired dwarf wearing a pointed hat"". You also communicate a message of up to twenty-five words. The Beast travels for the duration toward the specified location, covering 25 miles per 24 hours or 50 miles if the Beast can fly.
When the Beast arrives, it delivers your message to the creature that you described, mimicking your communication. If the Beast doesn't reach its destination before the spell ends, the message is lost and the Beast returns to where you cast the spell. 
Using a Higher-Level Spell Slot. The spell's duration increases by 48 hours for each spell slot level above 2. ",Yes,Level 2,Action,,"V, S, M",( A mosel of food),24 Hours,240,Utility,Charisma Save,Correspondence,_,A,Yes,No,Yes,No,Yes,No,No,No
Animal Shapes,transmutation,"Choose any number of willing creatures that you can see within range. Each target shape-shifts into a Large or smaller beast of your choice with a Challenge Rating of 4 or
lower. You can choose a different form for each taget. On later turns, you can take a Magic action to transform the targets again. 
A target's game statistics are replaced by the chosen Beast's statistics, but the target retains its creature type; Hit Points; Hit Point Dice; alignment; ability communicate; and Intelligence, Wisdom and Charisma scores. The target's actions are limited by the Beast form's anatomy, and it can't cast spells. The target's equipment melds into the new form and the target can't use any of that equipment while in that form.
The target gains a number of Temporary Hit Points equal to the Beasts form's Hit Points. The transformation lasts for the duration for each target, until the target has no Temporary Hit Points, or until the target leaves the form as a Bonus Action

",No,Level 8,Action,,"V, S",,24 hours,240,Utility,_,Body Transmutation,_,A,No,No,Yes,No,No,No,No,No
Animate Dead,illusion,"Choose a pile of bones or a corpse of a Medium or Small humanoid within range. The target becomes an Undead creature: a Skeleton if you chose bones or a Zombie if you chose a corpse (See appendix B in the 2024 PHB for the stat blocks).
On each of your turns, you can take a Bonus Action
to mentally command any creature you made with
this spell if the creature is within 60 feet of you (if you control multiple creatures, you can command any of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a chamber or corridor. If you issue no commands, the
creature takes the Dodge action and moves only to avoid harm. Once given an order, the creature continues to follow it until the task is complete.
The creature is under your control for 24 hours, after which it stops obeying any command you've given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell rather than animating a new creature. 

Using a Higher-Level Spell Slot. You animate or reassert control over two addtional Undead creatures for each spell slot above 3. Each of the creatures must come from a different corpse or pile of bones.",No,Level 3,1 Minute,,"V, S, M","(a drop o f blood, a piece of flesh,
and a pinch o f bone dust)",Instantaneous,240,Minion/Summon,_,_,_,A,No,Yes,No,No,No,No,No,Yes
Animate Objects,illusion,"Objects animate at your command. Choose a number of nonmagical objects within range that aren't being worn or carried, aren't fixed to a surface, and aren't Gargantuan. The maxiumim number of objects is equal to your spellcasting ability modifer; for this number, a Medium or smaller target counts as one object. a Large target counts as two, and a Huge target counts as three.
Each target animates, sprouts legs, and becomes a Construct that uses the Animated Object stat block; (see 2024 PHB pg.241) this creature is under your control until the spell ends or it is reduced to 0 Hit Points. Each creature you make with this spell is an ally to you and your allies. In combat, it shares your Initiative count and takes its turn immediatley after yours. Until the spell ends, you can take a Bonus Action to mentally command any creature you made with this spell if the creature is within 500 feet of you ( if you control mutiple creatures, you can command any of them at the same time, issuing the same command to each one). If you issue no command to any of them the creature takes the Dodge action and moves only to avoid harm. When the creature drops to 0 Hit Points, it reverts to its object form, and any remaining damage carries over to that form.
Using a Higher-Level Spell Slot. The creature's Slam damage increases by 1d5 ( Medium or smaller), 1d6 (Large) or 1d12 (Huge) for each spell slot level above 5.",No,Level 5,Action,,"V, S",,"Concentration, up to 1 Minute",240,Minion/Summon,_,_,_,A,Yes,No,No,No,No,Yes,No,Yes
Antilife Shell,abjuration,"An arua extends from you in a 10-foot Emanation
for the duration. The aura prevents creatures other than Constructs and Undead from passing or reaching through it. An affected creature can cast spells or makes attacks with Ranged or Reach weapons through the barrier.
If you move so that an affected creature is forces to pass through the barrier, the spell ends. ",No,Level 5,Action,,"V, S",,"Concentration, up to 1 Hour",241,Utility,_,Creature Protection,_,A,No,No,Yes,No,No,No,No,No
